0.000 2907	1.887 1760.290 2422.530	1.776 1660.060 3521.340	1.688 1922.610 2841.730	1.718 1566.930 2520.750	1.706 2116.630 2752.290
0.050 6230	1.617 1510.240 2150.820	1.648 1318.290 1758.970	1.649 1297.390 1900.340	1.586 1560.120 2033.040	1.782 1305.370 1445.500
0.100 9617	1.436 1203.530 2367.530	1.586 1055.550 2449.780	1.679 1312.180 1599.910	1.681 1450.330 2110.920	2.026 1269.400 1956.460
0.150 18220	1.946 1018.000 1574.610	1.648 960.744 1459.920	2.076 1136.080 1846.630	1.750 1189.560 2299.230	1.969 1147.710 1449.970
0.200 24087	1.584 793.433 1332.880	1.680 902.881 1540.160	1.796 999.247 1362.430	2.113 845.113 1281.030	2.162 881.206 1453.500
0.250 28699	1.818 887.646 1344.610	1.871 928.852 1841.690	2.499 857.095 3123.230	1.827 755.192 3246.750	2.699 797.703 1644.730
0.300 35940	2.870 785.039 1641.020	2.900 723.173 1856.100	2.970 933.019 1562.800	2.238 852.008 1508.070	2.526 738.570 1436.210
0.350 46009	1.709 659.763 2255.770	1.609 463.689 959.858	2.524 604.945 1119.070	1.713 411.639 946.918	2.242 634.252 1030.800
0.400 55457	2.828 914.741 2010.910	2.302 603.731 1711.790	2.840 749.022 2683.060	2.441 584.156 2871.420	2.577 632.168 1413.480
0.450 66878	2.070 469.268 1151.750	3.317 432.377 932.931	3.701 501.207 1044.020	1.831 467.843 561.385	3.877 560.481 940.879
0.500 77809	3.216 607.617 1187.910	3.456 483.126 950.165	2.865 559.084 880.438	3.866 438.184 927.403	2.764 438.197 1326.150
0.550 146749	2.860 384.762 1202.770	5.199 387.206 798.179	4.230 477.400 1565.280	2.718 435.569 1025.200	2.900 453.493 682.417
0.600 356380	4.322 214.013 580.087	6.463 279.479 617.556	7.501 293.412 657.430	3.388 220.322 484.611	5.003 275.266 559.865
0.650 730717	4.799 272.577 521.623	4.385 168.085 439.090	5.708 260.139 495.931	4.842 364.348 1076.710	4.887 185.058 228.638
0.700 1210397	5.846 236.101 365.653	4.914 115.139 287.947	5.992 247.062 376.861	6.622 456.997 594.438	4.801 113.101 189.687
0.750 1590668	4.542 184.059 304.287	5.696 104.103 400.813	5.423 144.537 210.253	4.667 130.666 217.514	4.965 87.571 118.681
0.800 2299427	4.732 179.339 273.147	6.710 86.198 145.991	5.693 152.625 260.451	5.871 260.183 338.287	4.499 56.269 145.779
0.850 3974498	4.451 48.700 102.972	5.105 47.886 111.647	5.306 77.125 171.425	3.980 59.927 142.233	5.105 44.965 68.043
0.900 6727091	4.992 70.628 144.178	6.234 74.777 129.226	6.307 146.710 213.758	4.436 155.231 231.010	4.545 32.181 46.048
0.950 29623321	5.898 37.715 60.806	6.236 29.148 35.675	7.255 40.924 71.236	4.212 46.256 123.688	6.346 23.374 33.830
